"ID","种","属","亚科","描述","分布"
"376","来氏平头蚁Colobopsis leonardi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","原“来氏弓背蚁”。大型工蚁: TL 812～916 , HL 2140～2197 , HW 2110～2143 , CI 79～88 ,SL 1163～1173 , SI 71～78 , PW 1133～1157 , AL 2150～2190 , ED 0150～0153 (n = 5) . 头部梯形, 长大于宽, 后部宽于前部, 正面观后头缘近平直, 头侧缘较直. 头背面前部斜截,截面凹陷. 上颚具6 齿. 唇基具中央纵脊, 前缘轻度隆起. 触角柄节约1/ 5 超过后头角.侧面观胸部背面呈弓形, 前中胸背板缝和后胸沟轻度凹陷. 并胸腹节斜面短, 约为背面长的1/ 2 , 坡形. 腹柄结厚, 楔形, 前面隆起, 后面近平直, 背缘中央近平直. 上颚具中等密集刻点. 头部具密集细刻点和稀疏大刻点, 头背面前部1/ 3 具粗糙脊状纵条纹. 胸部和腹部具密集细刻点. 头部背面中央和后头区具稀疏直立毛和密集亚倾斜绒毛被, 头前部和两侧仅具稀疏短绒毛. 胸部和腹部具密集直立毛和稠密倾斜长绒毛被, 遮盖刻点. 触角柄节具丰富亚直立短毛和稀疏平伏短绒毛被. 腿节和胫节具密集亚倾斜短毛和密集平伏绒毛被. 体黑色; 毛被和绒毛被黄棕色. 小型工蚁: TL 518～718 , HL 1170～2113 , HW 1160～2107 , CI 91～97 ,SL 1150～1167 , SI 81～94 , PW 0193～1127 , AL 2110～2147 , ED 0140～0150 (n = 5) . 似大型工蚁, 但体小, 后头缘和头侧缘轻度隆起, 头背面前部斜截面轻度隆起; 触角柄节约1/ 3 超过后头角.  ","中国云南（景洪、勐腊）；缅甸。"
"377","亮平头蚁Colobopsis vitreus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁: TL 617～710 , HL 1193～2100 , HW 1180～1190 , CI 90～98 , SL 1130 , SI 68～72 , PW 1107～1110 , AL 2100～2110 , ED 0140～0143 (n = 2) . 头部近方形, 长稍大于宽, 正面观后头缘近平直, 头侧缘轻度隆起, 向前稍变窄. 头背面前部1/ 3 斜截. 唇基较平坦, 无中央纵脊, 前缘中央圆形突出. 上颚具6～7 齿, 基部3～4 齿钝或不完整. 触角柄节约1/ 5 超过后头角. 侧面观前中胸背板圆形隆起, 前中胸背板缝明显, 后胸沟凹陷. 并胸腹节背面轻度隆起, 向后降低, 斜面较短, 轻度凹陷. 腹柄结较薄, 前面隆起, 后面平坦, 背缘中央有浅缺刻. 上颚具稀疏刻点, 间面具网状微刻纹. 头部具密集微皱纹和稀疏刻点. 胸部和腹部具密集微皱纹. 头部具稀疏长直立毛和稀疏平伏短绒毛被. 胸部具密集长直立毛和密集倾斜长绒毛被. 腹部具密集直立长毛和稀疏平伏短绒毛被. 触角柄节、腿节和胫节具密集亚倾斜毛. 体黑色; 头前部1/ 3 棕红色; 上颚、触角和足暗红棕色; 腹部各节后缘浅黄色; 毛被黄褐色. 小型工蚁: TL 510～513 , HL 1123～1137 , HW 1107～1123 , CI 86～90 , SL 1133～1143 , SI 114～125 , PW 0180～0190 , AL 1163～1187 , ED 0137～0140 (n =5) . 似大型工蚁, 但体较小, 后头缘圆形隆起; 唇基具中央纵脊; 触角柄节约1/ 2 超过后头角.  原“亮弓背蚁”。 ","中国云南（景洪、勐腊）；印度，缅甸，孟加拉国，泰国，马来西来，新加坡，印度尼西亚，澳大利亚，菲律宾。"
"378","巴瑞弓背蚁Camponotus parius","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南（安宁、临沧、文山、河口、元江、勐腊、大理苍山、西双版纳、无量山）、广西（百色、三江、桂林、荔浦、柳州、玉林、贵港、南宁、北海）、澳门、广东（广州）、福建（厦门）、海南（嘉积）、香港、西藏（德姆拉山）；印度，缅甸，斯里兰卡。"
"379","大埔大头蚁Pheidole taipoana","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","大埔大头蚁原为瑞娜大头蚁（Pheidole rinae）的亚种，后提升为种，拉丁学名变更为Pheidole taipoana。","中国广东、广西（桂林）、台湾、香港；泰国，越南。"
"380","大林盘腹蚁Aphaenogaster tipuna","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","大林盘腹蚁的模式产地位于中国台湾。 ","中国重庆（大巴山）、台湾；韩国，日本。"
"381","大吉盘腹蚁Aphaenogaster geei","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","大吉盘腹蚁的模式产地位于中国。 工蚁：体长6.5~7.5mm。体褐红色，后腹部除端部外黑褐色。立毛黄色，粗钝，较短，以后腹部上毛最丰富。上颚、唇基、额区、结节上部和后腹部多少具光泽；体其余部分暗；上颚具细长刻纹；头、并腹胸和腹柄刻纹和刻点密集，以头部的最为粗糙；并胸腹节基面和斜面具细横刻纹；后腹部基端具细密刻点，其余部分光亮，稍具稀疏刻点。头(包括上颚)呈椭圆形，后头角弧形，后头缘横形且具边缘；复眼大而凸，位于头侧近中央处；上颚长，具3个大齿；唇基前缘中间具一宽的缺切；额区三角形，光亮且深凹；触角细长，柄节基部强烈弯曲，在弯曲处具一窄的叶状突，鞭节各节均长明显大于宽，鞭节棒不明显。并腹胸细长；前胸背板和中胸背板前部形成圆凸；并胸腹节基面明显长于斜面，着生1对尖刺，指向外后方。第一结节侧面观呈圆锥形，其长度几与结前柄相等；第二结节凸圆，长宽几相等，其宽度约为第一结节的2倍。 ","中国安徽、北京、福建、湖南、江苏（苏州）、上海（徐家汇）、四川（成都）、浙江（临海）。"
"382","杂色弓背蚁Camponotus variegatus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大工蚁体长9-10mm，淡橙黄色，无光泽，头和腹部暗褐色，触角鞭节和足的颜色比胸部浅，绒毛淡黄色，稀而直立。 ","中国广东（南岭）、浙江、台湾（台北）、福建（龙岩）、广西（花坪、资源、桂林、全州、兴安、梧州、容县、防城、金钟山、弄岗）、广东（广州、清新、连州、封开、肇庆、信宜、新丰、平远、乳源、始兴、深圳（南山））、香港、澳门、湖北（长阳、随州、罗田）；斯里兰卡，缅甸，新加坡，美国夏威夷群岛。"
"383","侧扁弓背蚁Camponotus compressus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大工蚁体长11-16mm，黑色，上颚、触角鞭节和足红褐色，各腹节后缘浅褐色。大型工蚁并胸背板毛较多，上颚有7枚齿。","中国香港、上海、江苏（常州）、云南、浙江、福建、海南、辽宁；印度，菲律宾，澳大利亚（ ？），缅甸，斯里兰卡，马来西亚，非洲。"
"384","双齿多刺蚁Polyrhachis dives","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","次异名：拟黑多刺蚁、鼎突多刺蚁Polyrhachis vicina Roger, 1863Polyrhachis democles Smith, F., 1861Polyrhachis dives euclides Forel, 1913Polyrhachis dives siwiensis Santschi, 1932Polyrhachis exulans Clark, 1941Polyrhachis lucens Donisthorpe, 1947Polyrhachis mutiliae Smith, F., 1861 双齿多刺蚁于1857年首次采集于东南亚，模式产地位于新加坡和澳大利亚。 工蚁：体黑色，有时带有褐色，并腹胸、后腹披金黄色柔毛。","中国安徽、澳门、福建（福州、鼓岭、厦门）、甘肃、广东（百涌、车八岭、鼎湖山、广州、河尾山、罗浮山、梅州、南岭、七星坑、深圳（大鹏、南山））、广西（百色、北海、岑王老山、大瑶山、桂林、花坪、金钟山、九万山、柳州、木论、南宁、弄岗、钦州、青龙山、青狮潭、十万大山、梧州、玉林）、贵州（黔西南（望谟、兴义（坡岗）））、海南（嘉积、尖峰岭）、河北、湖北（赤壁、英山）、湖南、吉林、江苏、江西、山东、上海、台湾（安平、大林、高雄、Abato、Akau）、香港（九龙）、云南（无量山、西双版纳）、浙江（百祖山、丽水、莫干山）、未定地名（Ausu、Black Liang、Kushan Mt、Peta）；澳大利亚，婆罗洲，关岛，印度尼西亚，喀拉喀托群岛，马来西亚，新几内亚，菲律宾，新加坡，柬埔寨，印度，老挝，缅甸，泰国，越南，日本。"
"385","憎恶火蚁Solenopsis molesta","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","次异名：短刺红蚁Myrmica exigua Buckley, 1867Myrmica minuta Say, 1836Solenopsis debilis Mayr, 1886 种小名“molesta”意为“troublesome, irksome, grievous, annoying, tiresome”，故译为“憎恶火蚁”。 憎恶火蚁的模式产地位于美国。 工蚁体长1.38~1.62mm。雌蚁体长4.68~5.64mm。雄蚁体长3.48~4.32mm。","中国西藏；加拿大，美国，墨西哥。"
"386","红火蚁Solenopsis invicta","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","次异名：Solenopsis saevissima wagneri Santschi, 1916 俗名：red imported fire ant (RIFA) (English)Rote importierte Feuerameise (German)火蚁无敌火蚁入侵红火蚁外引红火蚁输入性红火蚁泊来红火蚁（台湾） 种小名“invicta”意为“无敌的”，因其难以防止而得名，本应按照拉丁文本意翻译成“无敌火蚁”，但很多报纸和网络媒体在报道此种蚂蚁时使用了“红火蚁”的名称，这是不负责任的，也有误导大众的嫌疑，但由于流传过于广泛，我们只能表示承认该译法，而且连文献中都使用了这个译名，因此本站在此处也使用“红火蚁”这个译名。另外，其俗名、通用名——火蚁，则指其蜇伤后会出现火灼感，不过这个名称是不正规的，而且与火蚁属（Solenopsis）重名，容易产生歧义，故不使用。","中国澳门、重庆（万盛、坪坝、九龙坡、北碚、綦江、渝北、垫江）、福建（福州（台江、苍山、马尾、晋安、长乐、闽侯、连江、罗源、平潭、福清）、厦门（海沧、湖里、集美、同安、翔安）、莆田（城厢、涵江、荔城、秀屿、仙游）、三明（梅列、三元、清流、沙县、永安）、泉州（鲤城、丰泽、洛江、泉港、惠安、安溪、永春、石狮、晋江、南安）、漳州（芗城、龙文、云霄、漳浦、诏安、长泰、东山、平和、华安、龙海）、南平（延平）、龙岩（新罗、永定、上杭、武平、连城）、宁德（蕉城、霞浦、古田、屏南、福安））、广东（广州（荔湾、海珠、天河、白云、黄埔、番禺、花都、南沙、从化、增城）、韶关（武江、浈江、曲江、始兴、仁化、翁源、乳源、新丰、乐昌、南雄）、深圳（罗湖、福田、南山、宝安、龙岗、盐田、光明、坪山、龙华、大鹏）、珠海（香洲、斗门、金湾）、汕头（潮阳）、佛山（禅城、南海、顺德、三水、高明）、江门（蓬江、江海、新会、台山、开平、鹤山、恩平）、湛江（赤坎、霞山、坡头、麻章、遂溪、廉江、雷州、吴川）、茂名（茂南、电白、高州、化州、信宜）、肇庆（高要、封开、德庆、四会）、惠州（惠城、惠阳、博罗、惠东、龙门、大亚湾、仲恺、罗浮山）、梅州（梅城、梅县、大埔、五华、平远、蕉岭、兴宁）、汕尾（城区、海丰、陆河、陆丰）、河源（源城、紫金、龙川、连平、和平、东源）、阳江（江城、阳西、阳东、阳春）、清远（清城、清新、佛冈、阳山、连山、连南、英德、连州）、揭阳（揭西、惠来、普宁）、云浮（云城、新兴、云安、罗定）、东莞、中山、潮州（湘桥、潮安、饶平））、广西（南宁（兴宁、青秀、江南、西乡塘、良庆、邕宁、武鸣、隆安、上林、宾阳、横县）、柳州（城中、鱼峰、柳南、柳北、柳江、柳城、鹿寨、融安、融水）、桂林（叠彩、雁山、阳朔、灵川、平乐、荔浦、恭城）、梧州（万秀、龙圩、长洲、苍梧、藤县、蒙山、岑溪）、北海（银海、铁山港、合浦）、防城港（防城）、钦州（钦南、钦北、灵山、浦北）、贵港（港北、港南、平南、桂平）、玉林（玉州、容县、陆川、博白、兴业、北流）、百色（右江、田阳、田东、平果、靖西）、贺州（八步、平桂、昭平、钟山、富川）、河池（金城江）、来宾（兴宾、象州、武宣、金秀）、崇左（江州、扶绥））、贵州（贵阳（云岩、花溪、清镇）、六盘水（六枝、水城、盘州）、遵义（怀仁）、安顺（镇宁、关岭）、铜仁（碧江）、黔西南（兴义、兴仁、贞丰、望谟、册亨、安龙）、黔东南（凯里、榕江、从江）、黔南（都匀、福泉、荔波、平塘、罗甸、长顺、惠水、三都））、海南（海口（秀英、龙华、琼山、美兰）、三亚（海棠、吉阳、天涯、崖州）、儋州、五指山、琼海、文昌、万宁、定安（黄竹）、屯昌、澄迈、临高、白沙、陵水、琼中）、湖北（武汉（蔡甸））、湖南（长沙（岳麓）、邵阳（武冈）、永州（江华））、江西（赣州（章贡、南康、赣县、信丰、上犹、安远、龙南、定南、全南、于都、兴国、会昌、寻乌、石城、瑞金）、吉安（吉州、青原、吉安县、安福）、上饶（信州、上饶县））、四川（攀枝花（东区、西区、仁和、米易、盐边）、凉州（西昌、德昌、会理、宁南））、台湾、香港、云南（昆明（西山、东川、呈贡、宜良、石林、禄劝、安宁）、曲靖（麒麟）、玉溪（红塔、澄江）、丽江（华坪）、普洱（思茅、宁洱、墨江、景谷、镇沅、澜沧）、临沧（临翔、凤庆、云县、镇康、双江、耿马、沧源）、楚雄（楚雄市、永仁、元谋、武定）、红河（个旧、开远、蒙自、屏边、弥勒、元阳）、文山（文山市、砚山、丘北、广南、富宁）、西双版纳（景洪、勐腊）、德宏（瑞丽、芒市、梁河、盈江、陇川））、浙江（温州（瓯海、洞头）、绍兴（越城）、金华（婺城、金东）、台州（仙居）、丽水（莲都））；澳大利亚，夏威夷，美国，安圭拉，安提瓜和巴布达，阿根廷，阿鲁巴，巴西，英属维尔京群岛，开曼群岛，大安的列斯群岛，墨西哥，蒙特塞拉特，荷属安的列斯，巴拉圭，波多黎各，圣马丁（法国部分），特立尼达和多巴哥，特克斯和凯科斯群岛，美属维尔京群岛。"
"387","矢野盲切叶蚁Carebara yanoi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","次异名：Pheidologeton dentiviris Forel, 1913 原中文名为矢野巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 矢野盲切叶蚁的模式产地位于中国台湾。","中国台湾（嘉义（大林））；日本。"
